Time;Channel A
(ms);(mV)

0,47337404;197,85150000
0,47401404;197,85150000
0,47465404;197,85150000
0,47529404;197,85150000
0,47593404;197,85150000
0,47657404;197,85150000
0,47721404;197,85150000
0,47785404;193,45680000
0,47849404;197,85150000
0,47913404;197,85150000
0,47977404;197,85150000
0,48041404;197,85150000
0,48105404;197,85150000
0,48169404;197,85150000
0,48233404;197,85150000
0,48297404;197,85150000
0,48361404;197,85150000
0,48425404;197,85150000
0,48489404;197,85150000
0,48553404;193,45680000
0,48617404;197,85150000
0,48681404;197,85150000
0,48745404;197,85150000
0,48809404;197,85150000
0,48873404;197,85150000
0,48937404;197,85150000
0,49001404;197,85150000
0,49065404;197,85150000
0,49129404;197,85150000
0,49193404;197,85150000
0,49257404;197,85150000
0,49321404;197,85150000
0,49385404;197,85150000
0,49449404;197,85150000
0,49513404;197,85150000
0,49577404;197,85150000
0,49641404;197,85150000
0,49705404;193,45680000
0,49769404;197,85150000
0,49833404;162,67890000
0,49897404;70,36042000
0,49961404;-43,93139000
0,50025404;-140,64450000
0,50089404;-184,60640000
0,50153404;-193,39580000
0,50217404;-197,80570000
0,50281404;-197,80570000
0,50345404;-197,80570000
0,50409404;-197,80570000
0,50473404;-197,80570000
0,50537404;-197,80570000
0,50601404;-197,80570000
0,50665404;-197,80570000
0,50729404;-197,80570000
0,50793404;-197,80570000
0,50857404;-197,80570000
0,50921404;-197,80570000
0,50985404;-197,80570000
0,51049404;-197,80570000
0,51113404;-197,80570000
0,51177404;-197,80570000
0,51241404;-197,80570000
0,51305404;-197,80570000
0,51369404;-197,80570000
0,51433404;-197,80570000
0,51497404;-197,80570000
0,51561404;-197,80570000
0,51625404;-197,80570000
0,51689404;-197,80570000
0,51753404;-197,80570000
0,51817404;-197,80570000
0,51881404;-197,80570000
0,51945404;-197,80570000
0,52009404;-197,80570000
0,52073404;-197,80570000
0,52137404;-197,80570000
0,52201404;-197,80570000
0,52265404;-197,80570000
0,52329404;-197,80570000
0,52393404;-197,80570000
0,52457404;-197,80570000
0,52521404;-197,80570000
0,52585404;-197,80570000
0,52649404;-197,80570000
0,52713404;-197,80570000
0,52777404;-197,80570000
0,52841404;-197,80570000
0,52905404;-197,80570000
0,52969404;-197,80570000
0,53033404;-197,80570000
0,53097404;-197,80570000
0,53161404;-197,80570000
0,53225404;-197,80570000
0,53289404;-197,80570000
0,53353404;-197,80570000
0,53417404;-197,80570000
0,53481404;-197,80570000
0,53545404;-197,80570000
0,53609404;-197,80570000
0,53673404;-202,20040000
0,53737404;-197,80570000
0,53801404;-197,80570000
0,53865404;-197,80570000
0,53929404;-197,80570000
0,53993404;-197,80570000
0,54057404;-197,80570000
